Company,CIK,Year,Total_Assets,Current_Assets,Current_Liabilities,Net_Income,Operating_Income,Total_Revenue,Gross_Profit
Amazon,1018724,2021,420549000000.0,161580000000.0,142266000000.0,33364000000.0,24879000000.0,469822000000.0,197478000000.0
Amazon,1018724,2022,462675000000.0,146791000000.0,155393000000.0,-2722000000.0,12248000000.0,513983000000.0,225152000000.0
Amazon,1018724,2023,527854000000.0,172351000000.0,164917000000.0,30425000000.0,36852000000.0,574785000000.0,270046000000.0
Amazon,1018724,2024,624894000000.0,190867000000.0,179431000000.0,59248000000.0,68593000000.0,637959000000.0,311671000000.0
Amazon,1018724,2025,818042000000.0,229083000000.0,218005000000.0,77670000000.0,79975000000.0,716924000000.0,360510000000.0
Apple,320193,2021,351002000000.0,134836000000.0,125481000000.0,94680000000.0,108949000000.0,365817000000.0,152836000000.0
Apple,320193,2022,352755000000.0,135405000000.0,153982000000.0,99803000000.0,119437000000.0,394328000000.0,170782000000.0
Apple,320193,2023,352583000000.0,143566000000.0,145308000000.0,96995000000.0,114301000000.0,383285000000.0,169148000000.0
Apple,320193,2024,364980000000.0,152987000000.0,176392000000.0,93736000000.0,123216000000.0,391035000000.0,180683000000.0
Apple,320193,2025,359241000000.0,147957000000.0,165631000000.0,112010000000.0,133050000000.0,416161000000.0,195201000000.0
Google (Alphabet),1652044,2021,359268000000.0,188143000000.0,64254000000.0,76033000000.0,78714000000.0,257637000000.0,146698000000.0
Google (Alphabet),1652044,2022,365264000000.0,164795000000.0,69300000000.0,59972000000.0,74842000000.0,282836000000.0,156633000000.0
Google (Alphabet),1652044,2023,402392000000.0,171530000000.0,81814000000.0,73795000000.0,84293000000.0,307394000000.0,174062000000.0
Google (Alphabet),1652044,2024,450256000000.0,163711000000.0,89122000000.0,100118000000.0,112390000000.0,350018000000.0,203712000000.0
Google (Alphabet),1652044,2025,595281000000.0,206038000000.0,102745000000.0,132170000000.0,129039000000.0,402836000000.0,240301000000.0
Meta,1326801,2021,165987000000.0,66666000000.0,21135000000.0,39370000000.0,46753000000.0,117929000000.0,95280000000.0
Meta,1326801,2022,185727000000.0,59549000000.0,27026000000.0,23200000000.0,28944000000.0,116609000000.0,91360000000.0
Meta,1326801,2023,229623000000.0,85365000000.0,31960000000.0,39098000000.0,46751000000.0,134902000000.0,108943000000.0
Meta,1326801,2024,276054000000.0,100045000000.0,33596000000.0,62360000000.0,69380000000.0,164501000000.0,134340000000.0
Meta,1326801,2025,366021000000.0,108722000000.0,41836000000.0,60458000000.0,83276000000.0,200966000000.0,164791000000.0
Microsoft,789019,2021,333779000000.0,184406000000.0,88657000000.0,61271000000.0,69916000000.0,168088000000.0,115856000000.0
Microsoft,789019,2022,364840000000.0,169684000000.0,95082000000.0,72738000000.0,83383000000.0,198270000000.0,135620000000.0
Microsoft,789019,2023,411976000000.0,184257000000.0,104149000000.0,72361000000.0,88523000000.0,211915000000.0,146052000000.0
Microsoft,789019,2024,512163000000.0,159734000000.0,125286000000.0,88136000000.0,109433000000.0,245122000000.0,171008000000.0
Microsoft,789019,2025,619003000000.0,191131000000.0,141218000000.0,101832000000.0,128528000000.0,281724000000.0,193893000000.0
